Nonimmigrant Visa Issuances by Nationality                                                      April 2024 (FY 2024),,
Nationality,Visa Class,Issuances
Afghanistan,B1,2
Afghanistan,B1/B2,166
Afghanistan,F1,4
Afghanistan,G4,11
Afghanistan,J1,1
Afghanistan,J2,4
Afghanistan,K1,18
Albania,A2,16
Albania,B1/B2,"2,761"
Albania,C1,1
Albania,C1/D,8
Albania,F1,3
Albania,F2,1
Albania,G2,2
Albania,G4,9
Albania,H1B,2
Albania,J1,119
Albania,K1,7
Albania,L1,1
Albania,NATO2,22
Albania,NATO6,1
Albania,P3,5
Algeria,A2,14
Algeria,B1/B2,"1,610"
Algeria,C1,2
Algeria,D,22
Algeria,F1,14
Algeria,F2,1
Algeria,G1,1
Algeria,G2,4
Algeria,G4,5
Algeria,H4,2
Algeria,I,3
Algeria,J1,13
Algeria,K1,12
Algeria,L1,4
Algeria,L2,4
Algeria,O1,1
Andorra,G2,1
Andorra,J1,1
Andorra,L2,2
Angola,A1,17
Angola,A2,114
Angola,B1,3
Angola,B1/B2,492
Angola,C1/D,19
Angola,F1,24
Angola,F2,3
Angola,G2,6
Angola,G4,2
Angola,I,5
Angola,J1,5
Angola,K1,1
Angola,L1,1
Angola,L2,3
Anguilla,B1/B2,3
Antigua and Barbuda,A1,1
Antigua and Barbuda,A2,1
Antigua and Barbuda,B1/B2,312
Antigua and Barbuda,C1/D,1
Antigua and Barbuda,F1,1
Antigua and Barbuda,H1B,2
Antigua and Barbuda,H2B,3
Antigua and Barbuda,J1,7
Antigua and Barbuda,P3,2
Argentina,A1,4
Argentina,A2,43
Argentina,A3,1
Argentina,B1,5
Argentina,B1/B2,"24,716"
Argentina,B2,66
Argentina,C1,8
Argentina,C1/D,142
Argentina,C3,1
Argentina,E1,1
Argentina,E2,57
Argentina,F1,102
Argentina,F2,12
Argentina,G1,1
Argentina,G2,10
Argentina,G4,28
Argentina,H1B,16
Argentina,H2A,3
Argentina,H2B,20
Argentina,H3,1
Argentina,H4,10
Argentina,I,32
Argentina,J1,278
Argentina,J2,22
Argentina,K1,13
Argentina,L1,50
Argentina,L2,54
Argentina,M1,1
Argentina,O1,30
Argentina,O2,8
Argentina,O3,20
Argentina,P1,47
Argentina,P3,7
Argentina,P4,16
Argentina,R1,7
Armenia,A1,3
Armenia,A2,33
Armenia,B1,1
Armenia,B1/B2,"1,076"
Armenia,E2,3
Armenia,F1,5
Armenia,G2,7
Armenia,G4,3
Armenia,H1B,1
Armenia,I,2
Armenia,J1,49
Armenia,K1,14
Armenia,O1,3
Armenia,O2,1
Armenia,P1,8
Armenia,R1,1
Armenia,R2,4
Australia,A1,13
Australia,A2,452
Australia,B1,3
Australia,B1/B2,982
Australia,B2,1
Australia,C1,6
Australia,C1/D,200
Australia,C3,5
Australia,E1,1
Australia,E2,30
Australia,E3,370
Australia,E3D,224
Australia,E3R,254
Australia,F1,125
Australia,F2,2
Australia,G1,3
Australia,G2,9
Australia,G4,15
Australia,H1B,35
Australia,H2A,6
Australia,H2B,7
Australia,H3,4
Australia,H4,11
Australia,I,33
Australia,J1,578
Australia,J2,22
Australia,K1,18
Australia,L1,84
Australia,L2,89
Australia,M1,6
Australia,O1,54
Australia,O2,30
Australia,O3,11
Australia,P1,33
Australia,P2,1
Australia,R1,8
Australia,R2,1
Australia,TD,2
Austria,A1,2
Austria,A2,59
Austria,B1/B2,287
Austria,C1/D,101
Austria,E1,3
Austria,E2,26
Austria,F1,22
Austria,F2,4
Austria,G1,2
Austria,G2,4
Austria,G4,8
Austria,H1B,4
Austria,H4,1
Austria,I,4
Austria,J1,90
Austria,J2,4
Austria,K1,2
Austria,L1,42
Austria,L2,6
Austria,M1,2
Austria,O1,7
Austria,O2,6
Austria,O3,1
Austria,P1,3
Austria,P3,1
Azerbaijan,A1,9
Azerbaijan,A2,30
Azerbaijan,B1,6
Azerbaijan,B1/B2,870
Azerbaijan,C1/D,25
Azerbaijan,E2,1
Azerbaijan,F1,49
Azerbaijan,F2,2
Azerbaijan,G1,1
Azerbaijan,G2,54
Azerbaijan,G4,8
Azerbaijan,H1B,2
Azerbaijan,H4,8
Azerbaijan,J1,71
Azerbaijan,J2,1
Azerbaijan,K1,1
Azerbaijan,L1,1
"Bahamas, The",A1,7
"Bahamas, The",A2,9
"Bahamas, The",B1/B2,"1,526"
"Bahamas, The",B2,6
"Bahamas, The",C1/D,7
"Bahamas, The",C3,4
"Bahamas, The",F1,48
"Bahamas, The",F2,2
"Bahamas, The",G1,4
"Bahamas, The",H1B,5
"Bahamas, The",J1,8
"Bahamas, The",L1,3
"Bahamas, The",L2,3
"Bahamas, The",M1,4
"Bahamas, The",O3,1
"Bahamas, The",P1,7
"Bahamas, The",R1,2
Bahrain,A2,31
Bahrain,B1/B2,292
Bahrain,C1/D,3
Bahrain,F1,2
Bahrain,G1,5
Bahrain,G2,3
Bahrain,G4,1
Bahrain,H1B,1
Bahrain,H4,1
Bahrain,J1,17
Bahrain,J2,3
Bahrain,K2,1
Bahrain,L1,1
Bahrain,M1,1
Bangladesh,A1,5
Bangladesh,A2,64
Bangladesh,B1,10
Bangladesh,B1/B2,"3,492"
Bangladesh,C1,3
Bangladesh,C1/D,85
Bangladesh,C2,2
Bangladesh,CW1,1
Bangladesh,F1,677
Bangladesh,F2,260
Bangladesh,G1,11
Bangladesh,G2,13
Bangladesh,G4,40
Bangladesh,H1B,25
Bangladesh,H4,9
Bangladesh,I,16
Bangladesh,J1,37
Bangladesh,J2,7
Bangladesh,K1,7
Bangladesh,L1,8
Bangladesh,L2,10
Bangladesh,M1,1
Bangladesh,O1,2
Bangladesh,P3,2
Bangladesh,TD,1
Barbados,A2,9
Barbados,B1,1
Barbados,B1/B2,832
Barbados,C1/D,2
Barbados,C3,3
Barbados,F1,6
Barbados,G4,2
Barbados,H1B,2
Barbados,H2B,6
Barbados,J1,9
Barbados,K1,1
Barbados,M1,1
Barbados,P1,1
Belarus,A1,1
Belarus,B1/B2,600
Belarus,C1/D,36
Belarus,F1,13
Belarus,G1,1
Belarus,G4,14
Belarus,H1B,2
Belarus,H4,3
Belarus,J1,96
Belarus,K1,10
Belarus,K2,2
Belarus,L1,5
Belarus,L2,5
Belarus,O1,5
Belarus,O2,1
Belarus,O3,3
Belarus,P1,4
Belgium,A2,14
Belgium,B1,3
Belgium,B1/B2,281
Belgium,C1/D,91
Belgium,E1,4
Belgium,E2,14
Belgium,F1,34
Belgium,G1,2
Belgium,G2,3
Belgium,G4,13
Belgium,H1B,4
Belgium,H2A,1
Belgium,H2B,2
Belgium,H4,3
Belgium,I,7
Belgium,J1,50
Belgium,J2,7
Belgium,K1,3
Belgium,L1,20
Belgium,L2,14
Belgium,M1,2
Belgium,NATO2,55
Belgium,NATO4,6
Belgium,O1,8
Belgium,O2,4
Belgium,O3,2
Belgium,P1,8
Belgium,P3,1
Belize,A2,14
Belize,B1,5
Belize,B1/B2,860
Belize,C1,5
Belize,C3,13
Belize,F1,7
Belize,G4,1
Belize,H2A,3
Belize,H2B,6
Belize,J1,10
