Nonimmigrant Visa Issuances by Nationality                                                      June 2024 (FY 2024),,
Nationality,Visa Class,Issuances
Afghanistan,B1,1
Afghanistan,B1/B2,160
Afghanistan,E2,1
Afghanistan,F1,41
Afghanistan,F2,2
Afghanistan,G4,9
Afghanistan,H1B,1
Afghanistan,H4,2
Afghanistan,J1,5
Afghanistan,K1,13
Afghanistan,L1,1
Afghanistan,P1,3
Afghanistan,P4,1
Albania,A1,3
Albania,A2,19
Albania,B1,1
Albania,B1/B2,"1,927"
Albania,C1/D,10
Albania,E2,1
Albania,F1,92
Albania,G4,8
Albania,H1B,1
Albania,H4,2
Albania,J1,94
Albania,K1,9
Albania,L1,1
Albania,NATO2,6
Albania,U2,1
Algeria,A1,20
Algeria,A2,8
Algeria,B1/B2,"1,234"
Algeria,B2,5
Algeria,C1,3
Algeria,D,11
Algeria,F1,30
Algeria,F2,1
Algeria,G1,1
Algeria,G2,10
Algeria,G4,1
Algeria,H1B,2
Algeria,H4,2
Algeria,I,2
Algeria,J1,57
Algeria,J2,4
Algeria,K1,8
Algeria,O1,1
Algeria,O3,4
Algeria,P3,1
Andorra,B1/B2,1
Andorra,F1,4
Andorra,J1,4
Angola,A1,10
Angola,A2,28
Angola,B1,1
Angola,B1/B2,443
Angola,C1/D,11
Angola,F1,34
Angola,G1,4
Angola,G2,8
Angola,H1B,1
Angola,I,1
Angola,J1,9
Angola,L1,2
Angola,L2,3
Anguilla,P3,1
Antigua and Barbuda,A2,2
Antigua and Barbuda,B1/B2,222
Antigua and Barbuda,F1,7
Antigua and Barbuda,G2,1
Antigua and Barbuda,G4,1
Antigua and Barbuda,H1B,1
Antigua and Barbuda,J1,2
Antigua and Barbuda,M1,1
Argentina,A1,2
Argentina,A2,22
Argentina,B1,10
Argentina,B1/B2,"18,374"
Argentina,B2,31
Argentina,C1,3
Argentina,C1/D,153
Argentina,C3,4
Argentina,E1,6
Argentina,E2,41
Argentina,F1,328
Argentina,F2,12
Argentina,G2,6
Argentina,G4,21
Argentina,H1B,19
Argentina,H2A,2
Argentina,H4,14
Argentina,I,14
Argentina,J1,246
Argentina,J2,54
Argentina,K1,6
Argentina,L1,59
Argentina,L2,87
Argentina,M1,3
Argentina,N8,2
Argentina,O1,24
Argentina,O2,5
Argentina,O3,26
Argentina,P1,51
Argentina,P3,14
Argentina,P4,10
Argentina,R1,2
Argentina,TD,1
Armenia,A1,5
Armenia,A2,13
Armenia,B1/B2,"1,028"
Armenia,D,1
Armenia,E2,2
Armenia,F1,34
Armenia,F2,3
Armenia,G1,1
Armenia,G2,6
Armenia,G4,2
Armenia,H1B,5
Armenia,H4,6
Armenia,J1,22
Armenia,J2,2
Armenia,K1,12
Armenia,K2,3
Armenia,L1,2
Armenia,L2,6
Armenia,P1,76
Australia,A1,29
Australia,A2,393
Australia,B1,4
Australia,B1/B2,691
Australia,B2,1
Australia,C1,4
Australia,C1/D,142
Australia,C3,5
Australia,E2,27
Australia,E3,298
Australia,E3D,273
Australia,E3R,228
Australia,F1,379
Australia,F2,10
Australia,G1,5
Australia,G2,2
Australia,G4,15
Australia,H1B,43
Australia,H2B,2
Australia,H4,22
Australia,I,22
Australia,J1,244
Australia,J2,16
Australia,K1,6
Australia,L1,68
Australia,L2,82
Australia,M1,18
Australia,M2,6
Australia,O1,45
Australia,O2,37
Australia,O3,9
Australia,P1,64
Australia,P3,3
Australia,P4,3
Australia,R1,3
Australia,R2,1
Austria,A1,4
Austria,A2,44
Austria,B1,6
Austria,B1/B2,183
Austria,C1/D,34
Austria,E1,5
Austria,E2,18
Austria,F1,70
Austria,G1,2
Austria,G2,1
Austria,G4,5
Austria,H1B,12
Austria,H4,4
Austria,I,3
Austria,J1,183
Austria,J2,5
Austria,K1,2
Austria,K2,2
Austria,L1,50
Austria,L2,11
Austria,M1,1
Austria,NATO2,1
Austria,O1,7
Austria,O2,4
Austria,P1,1
Austria,P3,1
