Nonimmigrant Visa Issuances by Nationality                                                      March 2024 (FY 2024),,
Nationality,Visa Class,Issuances
Afghanistan,B1,1
Afghanistan,B1/B2,139
Afghanistan,C2,3
Afghanistan,F1,7
Afghanistan,F2,1
Afghanistan,G4,16
Afghanistan,J1,3
Afghanistan,K1,7
Afghanistan,L1,1
Afghanistan,O1,1
Afghanistan,P4,1
Albania,A1,2
Albania,A2,18
Albania,B1/B2,"2,292"
Albania,BBBCC,1
Albania,C1/D,9
Albania,F1,18
Albania,F2,3
Albania,G1,1
Albania,G2,2
Albania,G4,7
Albania,H1B,1
Albania,I,1
Albania,J1,24
Albania,K1,10
Albania,K2,1
Albania,L2,1
Albania,NATO2,10
Albania,P3,3
Albania,P4,2
Algeria,A1,4
Algeria,A2,9
Algeria,B1,3
Algeria,B1/B2,"1,661"
Algeria,C1,2
Algeria,C2,3
Algeria,D,23
Algeria,F1,27
Algeria,F2,1
Algeria,G1,4
Algeria,G2,1
Algeria,G4,3
Algeria,H1B,1
Algeria,H4,1
Algeria,I,2
Algeria,J1,14
Algeria,J2,1
Algeria,K1,12
Algeria,L1,4
Algeria,L2,1
Algeria,O1,1
Andorra,A1,1
Andorra,B1/B2,2
Andorra,E2,1
Andorra,G2,6
Angola,A1,3
Angola,A2,5
Angola,A3,1
Angola,B1,4
Angola,B1/B2,345
Angola,C1/D,13
Angola,C2,2
Angola,F1,36
Angola,F2,4
Angola,G2,21
Angola,G4,1
Angola,H4,2
Angola,J1,1
Angola,K1,2
Anguilla,B1/B2,2
Antigua and Barbuda,A1,2
Antigua and Barbuda,B1/B2,278
Antigua and Barbuda,C1/D,1
Antigua and Barbuda,F1,3
Antigua and Barbuda,G1,1
Antigua and Barbuda,H2B,1
Antigua and Barbuda,J1,4
Antigua and Barbuda,L2,1
Argentina,A1,3
Argentina,A2,24
Argentina,B1,8
Argentina,B1/B2,"24,109"
Argentina,B2,72
Argentina,BBBCC,1
Argentina,C1/D,141
Argentina,C2,1
Argentina,E1,5
Argentina,E2,53
Argentina,F1,75
Argentina,F2,10
Argentina,G1,6
Argentina,G2,5
Argentina,G4,39
Argentina,G5,2
Argentina,H1B,18
Argentina,H2A,41
Argentina,H2B,23
Argentina,H3,1
Argentina,H4,7
Argentina,I,13
Argentina,J1,260
Argentina,J2,11
Argentina,K1,9
Argentina,L1,60
Argentina,L2,71
Argentina,M1,5
Argentina,O1,28
Argentina,O2,6
Argentina,O3,14
Argentina,P1,31
Argentina,P3,6
Argentina,P4,5
Argentina,R1,6
Argentina,R2,2
Argentina,TD,1
Armenia,A2,8
Armenia,B1/B2,"1,484"
Armenia,C1,1
Armenia,C3,1
Armenia,D,2
Armenia,E2,3
Armenia,F1,1
Armenia,F2,4
Armenia,G1,3
Armenia,G2,3
Armenia,G4,1
Armenia,H1B,1
Armenia,J1,25
Armenia,J2,1
Armenia,K1,21
Armenia,K2,1
Armenia,O1,2
Armenia,O2,2
Armenia,P3,3
Armenia,TD,1
Australia,A1,8
Australia,A2,423
Australia,B1,5
Australia,B1/B2,884
Australia,B2,1
Australia,C1,2
Australia,C1/D,163
Australia,C3,2
Australia,E2,26
Australia,E3,252
Australia,E3D,211
Australia,E3R,242
Australia,F1,51
Australia,F2,2
Australia,G1,4
Australia,G2,3
Australia,G4,14
Australia,H1B,43
Australia,H2A,2
Australia,H2B,1
Australia,H4,15
Australia,I,18
Australia,J1,368
Australia,J2,7
Australia,K1,14
Australia,K2,1
Australia,L1,45
Australia,L2,24
Australia,M1,5
Australia,O1,44
Australia,O2,18
Australia,O3,2
Australia,P1,37
Australia,P3,1
Australia,R1,4
Australia,R2,2
Austria,A1,1
Austria,A2,40
Austria,B1,1
Austria,B1/B2,275
Austria,C1/D,104
Austria,E1,5
Austria,E2,22
Austria,F1,22
Austria,G2,3
Austria,G3,2
Austria,G4,9
Austria,H1B,5
Austria,I,5
Austria,J1,47
Austria,J2,1
Austria,K1,2
Austria,L1,21
Austria,L2,5
Austria,M1,2
Austria,O1,6
Austria,O2,1
Austria,O3,1
Austria,P1,14
Azerbaijan,A1,1
Azerbaijan,A2,17
Azerbaijan,B1,3
Azerbaijan,B1/B2,668
Azerbaijan,C1/D,24
Azerbaijan,E2,6
Azerbaijan,F1,14
Azerbaijan,F2,3
Azerbaijan,G1,1
Azerbaijan,G2,15
Azerbaijan,G4,8
Azerbaijan,H1B,2
Azerbaijan,H4,3
Azerbaijan,I,6
Azerbaijan,J1,26
Azerbaijan,J2,5
Azerbaijan,K1,2
Azerbaijan,L1,1
Azerbaijan,L2,1
Azerbaijan,R1,1
Azerbaijan,R2,1
"Bahamas, The",A1,11
"Bahamas, The",A2,4
"Bahamas, The",B1/B2,999
"Bahamas, The",B2,5
"Bahamas, The",C1,1
"Bahamas, The",C1/D,9
"Bahamas, The",C3,1
"Bahamas, The",F1,16
"Bahamas, The",F2,1
"Bahamas, The",G1,1
"Bahamas, The",H1B,7
"Bahamas, The",H4,3
"Bahamas, The",J1,4
"Bahamas, The",L1,2
"Bahamas, The",M1,4
"Bahamas, The",P1,1
"Bahamas, The",R1,1
Bahrain,A1,2
Bahrain,A2,5
Bahrain,B1/B2,340
Bahrain,C1/D,1
Bahrain,F1,3
Bahrain,G2,6
Bahrain,H1B,2
Bahrain,J1,2
Bahrain,M1,1
Bangladesh,A1,4
Bangladesh,A2,60
Bangladesh,B1,5
Bangladesh,B1/B2,"3,607"
Bangladesh,C1/D,86
Bangladesh,C2,5
Bangladesh,C3,2
Bangladesh,CW1,3
Bangladesh,E2,5
Bangladesh,F1,189
Bangladesh,F2,138
Bangladesh,G1,16
Bangladesh,G2,13
Bangladesh,G4,36
Bangladesh,H1B,24
Bangladesh,H4,24
Bangladesh,I,8
Bangladesh,J1,32
Bangladesh,J2,14
Bangladesh,K1,3
Bangladesh,L1,7
Bangladesh,L2,8
Bangladesh,M1,7
Bangladesh,R1,1
Bangladesh,R2,2
Bangladesh,T4,2
Barbados,A1,3
Barbados,A2,4
Barbados,B1,1
Barbados,B1/B2,"1,028"
Barbados,C1,1
Barbados,C1/D,4
Barbados,F1,2
Barbados,F2,1
Barbados,G2,1
Barbados,G4,5
Barbados,H1B,1
Barbados,H2B,5
Barbados,J1,4
Barbados,K1,1
Barbados,K2,1
Barbados,M1,1
Barbados,O1,2
Barbados,O2,1
Belarus,B1/B2,631
Belarus,C1,1
Belarus,C1/D,28
Belarus,E2,4
Belarus,F1,8
Belarus,G1,3
Belarus,G4,8
Belarus,H1B,4
Belarus,H4,3
Belarus,J1,59
Belarus,J2,3
Belarus,K1,11
Belarus,K2,4
Belarus,L1,12
Belarus,L2,14
Belarus,O1,4
Belarus,O3,3
Belarus,P1,1
Belarus,P4,3
Belarus,R1,2
Belarus,R2,1
Belgium,A1,2
Belgium,A2,24
Belgium,B1/B2,259
Belgium,C1/D,77
Belgium,E2,22
Belgium,E3D,1
Belgium,F1,17
Belgium,G2,8
Belgium,G4,14
Belgium,H1B,11
Belgium,H2A,1
Belgium,H4,1
Belgium,I,18
Belgium,J1,41
Belgium,J2,1
Belgium,K1,4
Belgium,L1,25
Belgium,L2,23
Belgium,M1,3
Belgium,NATO2,85
Belgium,NATO4,1
Belgium,NATO6,2
Belgium,O1,8
Belgium,O2,7
Belgium,O3,1
Belgium,P1,19
Belgium,P3,1
Belize,A2,14
Belize,B1/B2,680
Belize,C1,9
Belize,C1/D,2
Belize,C3,10
Belize,F1,3
Belize,G1,1
Belize,H1B,1
Belize,H2A,4
Belize,H2B,12
Belize,J1,16
Belize,J2,3
Belize,K1,1
Belize,L1,1
Belize,M1,1
Benin,A1,5
Benin,A2,7
Benin,B1/B2,195
Benin,F1,17
Benin,F2,1
Benin,G2,4
Benin,G4,4
Benin,J1,1
Benin,J2,1
Benin,K1,6
Benin,K2,6
Benin,P1,1
Benin,R1,1
Bermuda,B1/B2,11
Bermuda,J1,1
Bermuda,J2,1
Bhutan,A1,1
Bhutan,A2,8
Bhutan,B1/B2,57
Bhutan,F1,2
Bhutan,F2,2
Bhutan,G2,10
Bhutan,H4,1
Bhutan,J1,1
Bhutan,K1,1
Bhutan,K2,1
Bhutan,P3,1
Bhutan,R1,1
Bolivia,A1,2
Bolivia,B1,2
Bolivia,B1/B2,"2,316"
Bolivia,C1,1
Bolivia,C1/D,35
Bolivia,C3,2
Bolivia,E2,2
Bolivia,F1,17
Bolivia,F2,2
Bolivia,G2,6
Bolivia,G4,12
Bolivia,G5,1
Bolivia,H1B,3
Bolivia,H2A,1
Bolivia,H2B,2
Bolivia,H4,3
Bolivia,I,1
Bolivia,J1,49
Bolivia,K1,3
Bolivia,K2,1
Bolivia,L1,1
Bolivia,L2,3
Bolivia,R1,1
Bosnia-Herzegovina,A2,15
Bosnia-Herzegovina,B1,34
Bosnia-Herzegovina,B1/B2,374
Bosnia-Herzegovina,C1/D,10
Bosnia-Herzegovina,E2,5
Bosnia-Herzegovina,G4,9
Bosnia-Herzegovina,H2B,5
Bosnia-Herzegovina,J1,281
