Nonimmigrant Visa Issuances by Nationality                                                      May 2024 (FY 2024),,
Nationality,Visa Class,Issuances
Afghanistan,B1/B2,186
Afghanistan,F1,21
Afghanistan,F2,1
Afghanistan,G4,6
Afghanistan,J1,3
Afghanistan,K1,18
Albania,A2,2
Albania,B1/B2,"1,648"
Albania,B2,1
Albania,C1/D,7
Albania,F1,42
Albania,F2,1
Albania,G2,1
Albania,G4,6
Albania,H1B,3
Albania,H4,1
Albania,J1,572
Albania,K1,13
Albania,L1,2
Albania,L2,1
Albania,NATO2,10
Albania,NATO4,1
Albania,O1,1
Albania,P1,2
Albania,P3,1
Algeria,A1,12
Algeria,A2,22
Algeria,B1/B2,"1,665"
Algeria,C1,2
Algeria,D,23
Algeria,F1,29
Algeria,G1,8
Algeria,G2,1
Algeria,G4,1
Algeria,H1B,3
Algeria,H4,1
Algeria,J1,19
Algeria,K1,19
Algeria,K2,1
Algeria,L1,2
Algeria,L2,2
Andorra,A1,2
Andorra,F1,1
Andorra,G2,1
Andorra,J1,2
Angola,A1,6
Angola,A2,48
Angola,B1/B2,441
Angola,C1/D,22
Angola,F1,33
Angola,F2,1
Angola,G2,1
Angola,I,1
Angola,J1,17
Angola,L1,3
Angola,L2,5
Anguilla,B1/B2,5
Anguilla,J1,1
Antigua and Barbuda,B1/B2,356
Antigua and Barbuda,C1/D,2
Antigua and Barbuda,F1,2
Antigua and Barbuda,H1B,2
Antigua and Barbuda,J1,9
Antigua and Barbuda,J2,2
Argentina,A1,14
Argentina,A2,43
Argentina,B1,7
Argentina,B1/B2,"25,488"
Argentina,B2,70
Argentina,C1,1
Argentina,C1/D,154
Argentina,C3,2
Argentina,E1,6
Argentina,E2,42
Argentina,F1,292
Argentina,F2,13
Argentina,G1,1
Argentina,G2,4
Argentina,G4,22
Argentina,H1B,12
Argentina,H2A,28
Argentina,H2B,12
Argentina,H4,3
Argentina,I,124
Argentina,J1,267
Argentina,J2,17
Argentina,K1,17
Argentina,L1,49
Argentina,L2,47
Argentina,M1,3
Argentina,O1,26
Argentina,O3,10
Argentina,P1,62
Argentina,P3,13
Argentina,P4,17
Argentina,R1,6
Argentina,R2,1
Armenia,A1,7
Armenia,A2,29
Armenia,B1,4
Armenia,B1/B2,"1,775"
Armenia,E2,4
Armenia,F1,37
Armenia,F2,6
Armenia,G2,6
Armenia,G4,1
Armenia,H1B,3
Armenia,H4,1
Armenia,J1,33
Armenia,J2,4
Armenia,K1,12
Armenia,L1,4
Armenia,L2,6
Armenia,O1,1
Armenia,P1,2
Australia,A1,23
Australia,A2,612
Australia,B1,3
Australia,B1/B2,957
Australia,C1,3
Australia,C1/D,153
Australia,C3,7
Australia,E2,34
Australia,E3,350
Australia,E3D,198
Australia,E3R,222
Australia,F1,359
Australia,F2,8
Australia,G1,4
Australia,G2,6
Australia,G4,37
Australia,H1B,29
Australia,H3,2
Australia,H4,12
Australia,I,36
Australia,J1,655
Australia,J2,12
Australia,K1,24
Australia,K2,1
Australia,L1,72
Australia,L2,70
Australia,M1,13
Australia,M2,10
Australia,O1,54
Australia,O2,21
Australia,O3,4
Australia,P1,60
Australia,P4,4
Australia,R1,9
Australia,R2,1
Austria,A1,3
Austria,A2,54
Austria,B1/B2,186
Austria,C1/D,58
Austria,E1,1
Austria,E2,12
Austria,F1,47
Austria,G1,1
Austria,G2,1
Austria,G3,3
Austria,G4,12
Austria,H1B,4
Austria,H4,1
Austria,I,4
Austria,J1,89
Austria,J2,5
Austria,K1,3
Austria,L1,44
Austria,L2,5
Austria,M1,3
Austria,O1,7
Austria,P1,1
Azerbaijan,A1,8
Azerbaijan,A2,18
Azerbaijan,B1,4
Azerbaijan,B1/B2,853
Azerbaijan,C1/D,25
Azerbaijan,E2,3
Azerbaijan,F1,98
Azerbaijan,F2,10
Azerbaijan,G1,3
Azerbaijan,G2,17
Azerbaijan,G4,7
Azerbaijan,H1B,6
Azerbaijan,H4,5
Azerbaijan,I,1
Azerbaijan,J1,73
Azerbaijan,J2,1
Azerbaijan,K1,1
Azerbaijan,L1,5
Azerbaijan,L2,6
Azerbaijan,P3,3
"Bahamas, The",A1,2
"Bahamas, The",A2,4
"Bahamas, The",B1,1
"Bahamas, The",B1/B2,"1,674"
"Bahamas, The",C1/D,15
"Bahamas, The",F1,81
"Bahamas, The",F2,3
