Nonimmigrant Visa Issuances by Nationality                                                      November 2023 (FY 2024),,
Nationality,Visa Class,Issuances
Afghanistan,B1,1
Afghanistan,B1/B2,132
Afghanistan,F1,14
Afghanistan,F2,3
Afghanistan,G4,7
Afghanistan,H1B,2
Afghanistan,H4,6
Afghanistan,J1,2
Afghanistan,J2,11
Afghanistan,K1,27
Afghanistan,O1,1
Afghanistan,R1,2
Afghanistan,R2,1
Albania,A2,8
Albania,B1/B2,"1,677"
Albania,C1/D,6
Albania,F1,24
Albania,H1B,2
Albania,H4,2
Albania,I,1
Albania,J1,10
Albania,J2,1
Albania,K1,15
Albania,L1,1
Albania,P3,12
Albania,R1,1
Algeria,A1,3
Algeria,A2,14
Algeria,B1/B2,"1,691"
Algeria,C1,2
Algeria,D,14
Algeria,F1,65
Algeria,F2,1
Algeria,G2,4
Algeria,G4,6
Algeria,H1B,1
Algeria,H4,1
Algeria,J1,22
Algeria,J2,4
Algeria,K1,21
Algeria,L1,7
Algeria,L2,7
Algeria,P1,5
Algeria,P3,2
Andorra,F1,2
Andorra,J1,3
Angola,A1,7
Angola,A2,27
Angola,B1,1
Angola,B1/B2,232
Angola,C1/D,5
Angola,F1,11
Angola,F2,1
Angola,G1,6
Angola,G2,9
Angola,G4,7
Angola,J1,1
Angola,K1,1
Angola,L1,5
Angola,L2,3
Angola,O1,2
Anguilla,B1/B2,1
Antigua and Barbuda,A2,3
Antigua and Barbuda,B1/B2,244
Antigua and Barbuda,C1,1
Antigua and Barbuda,C1/D,1
Antigua and Barbuda,C3,1
Antigua and Barbuda,F1,6
Antigua and Barbuda,G2,1
Antigua and Barbuda,J1,1
Antigua and Barbuda,K2,1
Antigua and Barbuda,M1,1
Antigua and Barbuda,R1,1
Argentina,A1,2
Argentina,A2,94
Argentina,A3,1
Argentina,B1,3
Argentina,B1/B2,"20,173"
Argentina,B2,14
Argentina,C1,11
Argentina,C1/D,100
Argentina,C3,2
Argentina,E1,6
Argentina,E2,53
Argentina,F1,125
Argentina,F2,6
Argentina,G1,1
Argentina,G2,1
Argentina,G4,17
Argentina,H1B,27
Argentina,H2B,24
Argentina,H4,17
Argentina,I,10
Argentina,J1,"2,171"
Argentina,J2,29
Argentina,K1,10
Argentina,K2,2
Argentina,L1,46
Argentina,L2,68
Argentina,M1,2
Argentina,O1,24
Argentina,O2,19
Argentina,O3,26
Argentina,P1,70
Argentina,P3,18
Argentina,P4,22
Argentina,R1,6
Argentina,R2,4
Argentina,TD,1
Armenia,A1,1
Armenia,A2,4
Armenia,B1/B2,"1,369"
Armenia,C3,1
Armenia,D,2
Armenia,E2,2
Armenia,F1,7
Armenia,F2,2
Armenia,G2,5
Armenia,G4,3
Armenia,H1B,4
Armenia,I,1
Armenia,J1,19
Armenia,K1,11
Armenia,L1,4
Armenia,L2,4
Armenia,O1,2
Armenia,O3,1
Armenia,P3,89
Armenia,P4,1
Armenia,R1,1
Armenia,R2,1
Australia,A1,10
Australia,A2,486
Australia,B1,3
Australia,B1/B2,723
Australia,B2,2
Australia,C1,6
Australia,C1/D,158
Australia,C3,5
Australia,E1,2
Australia,E2,24
Australia,E3,315
Australia,E3D,205
Australia,E3R,221
Australia,F1,79
Australia,F2,6
Australia,G1,6
Australia,G2,5
Australia,G4,5
Australia,H1B,38
Australia,H2B,12
Australia,H4,19
Australia,I,12
Australia,J1,135
Australia,J2,3
Australia,K1,12
Australia,K2,1
Australia,L1,58
Australia,L2,60
Australia,M1,2
Australia,O1,45
Australia,O2,14
Australia,O3,2
Australia,P1,32
Australia,P2,1
Australia,P3,3
Australia,P4,2
Australia,R1,4
Australia,R2,6
Australia,TD,1
Austria,A2,11
Austria,B1,1
Austria,B1/B2,189
Austria,C1/D,53
Austria,E2,28
Austria,F1,25
Austria,G2,5
Austria,G3,1
Austria,G4,7
Austria,H1B,6
Austria,H4,1
Austria,I,2
Austria,J1,93
Austria,J2,2
Austria,K1,3
Austria,L1,21
Austria,L2,2
Austria,O1,6
Austria,O2,3
Austria,O3,1
Austria,P1,7
Austria,P3,1
Austria,Q1,6
Austria,R1,1
Azerbaijan,A2,12
Azerbaijan,B1,6
Azerbaijan,B1/B2,505
Azerbaijan,C1/D,17
Azerbaijan,E2,11
Azerbaijan,F1,33
Azerbaijan,F2,8
Azerbaijan,G2,1
Azerbaijan,G4,6
Azerbaijan,H1B,5
Azerbaijan,H4,4
Azerbaijan,J1,10
Azerbaijan,J2,9
Azerbaijan,K1,3
Azerbaijan,L1,6
Azerbaijan,L2,4
Azerbaijan,O1,1
"Bahamas, The",A1,9
"Bahamas, The",A2,13
"Bahamas, The",B1/B2,"1,057"
"Bahamas, The",B2,1
"Bahamas, The",C1/D,11
"Bahamas, The",F1,46
"Bahamas, The",G4,1
"Bahamas, The",H1B,13
"Bahamas, The",H4,3
"Bahamas, The",J1,1
"Bahamas, The",K1,1
"Bahamas, The",L1,3
"Bahamas, The",L2,5
"Bahamas, The",M1,2
"Bahamas, The",O1,1
"Bahamas, The",O3,2
"Bahamas, The",R1,2
Bahrain,A1,1
Bahrain,A2,25
Bahrain,B1/B2,303
Bahrain,C1,1
Bahrain,C1/D,1
Bahrain,F1,4
Bahrain,H1B,1
Bahrain,J1,2
Bahrain,O1,1
Bangladesh,A1,3
Bangladesh,A2,48
Bangladesh,A3,1
Bangladesh,B1,11
Bangladesh,B1/B2,"3,350"
Bangladesh,C1,7
Bangladesh,C1/D,77
Bangladesh,CW1,2
Bangladesh,E2,1
Bangladesh,F1,442
Bangladesh,F2,178
Bangladesh,G1,5
Bangladesh,G2,10
Bangladesh,G4,12
Bangladesh,H1B,29
Bangladesh,H4,17
Bangladesh,I,4
Bangladesh,J1,21
Bangladesh,J2,20
Bangladesh,K1,6
Bangladesh,K2,1
Bangladesh,L1,3
Bangladesh,L2,9
Bangladesh,M1,1
Bangladesh,M2,1
Bangladesh,O1,1
Bangladesh,O3,1
Bangladesh,R1,1
Bangladesh,T2,1
Bangladesh,T3,1
Bangladesh,T4,1
Barbados,A1,1
Barbados,A2,2
Barbados,B1/B2,628
Barbados,C1/D,4
Barbados,F1,4
Barbados,G4,1
Barbados,H1B,1
Barbados,H2A,2
Barbados,H2B,4
Barbados,H4,2
Belarus,A2,2
Belarus,B1/B2,664
Belarus,C1/D,22
Belarus,F1,6
Belarus,F2,2
Belarus,G1,2
Belarus,G4,2
Belarus,H1B,6
Belarus,H4,2
Belarus,I,4
Belarus,J1,3
Belarus,K1,7
Belarus,K2,4
Belarus,L1,9
Belarus,L2,13
Belarus,O1,4
Belarus,O3,2
Belarus,P1,7
Belgium,A2,23
Belgium,B1,1
Belgium,B1/B2,269
Belgium,C1/D,132
Belgium,E1,1
Belgium,E2,11
Belgium,F1,29
Belgium,F2,2
Belgium,G2,5
Belgium,G4,18
Belgium,H1B,12
Belgium,H4,1
Belgium,I,14
Belgium,J1,57
Belgium,J2,6
Belgium,K1,4
Belgium,L1,24
Belgium,L2,23
Belgium,M1,9
Belgium,NATO2,43
Belgium,NATO4,1
Belgium,O1,12
Belgium,O2,7
Belgium,O3,1
Belgium,P1,4
Belgium,P3,1
Belgium,P4,2
Belgium,R1,2
Belize,A2,1
Belize,B1/B2,731
Belize,C1,4
Belize,C1/D,1
Belize,C3,11
Belize,F1,6
Belize,F2,1
Belize,G4,1
Belize,H1B,1
Belize,H2B,1
Belize,H4,1
Belize,J1,1
Belize,J2,1
Belize,K1,4
Belize,K2,1
Benin,A2,3
Benin,B1/B2,167
Benin,E2,4
Benin,F1,16
Benin,G2,1
Benin,G4,4
Benin,H1B,1
Benin,H4,3
Benin,J1,2
Benin,K1,3
Bermuda,B1/B2,13
Bermuda,H4,1
Bhutan,B1/B2,29
Bhutan,F1,8
Bhutan,F2,2
Bhutan,G2,6
Bhutan,H1B,1
Bhutan,K1,3
Bolivia,A1,1
Bolivia,A2,9
Bolivia,B1,4
Bolivia,B1/B2,"2,944"
Bolivia,C1,2
Bolivia,C1/D,6
Bolivia,C3,1
Bolivia,F1,40
Bolivia,F2,2
Bolivia,G4,5
Bolivia,H1B,5
Bolivia,J1,28
Bolivia,K1,6
Bolivia,K2,1
Bolivia,L1,2
Bolivia,L2,1
Bolivia,M1,1
Bolivia,O1,1
Bolivia,P1,1
Bosnia-Herzegovina,A2,7
Bosnia-Herzegovina,B1,15
Bosnia-Herzegovina,B1/B2,322
Bosnia-Herzegovina,C1,1
Bosnia-Herzegovina,C1/D,22
Bosnia-Herzegovina,E2,16
Bosnia-Herzegovina,F1,4
Bosnia-Herzegovina,G4,3
Bosnia-Herzegovina,H1B,1
Bosnia-Herzegovina,J1,3
Bosnia-Herzegovina,J2,1
Bosnia-Herzegovina,K1,8
Bosnia-Herzegovina,L1,1
Bosnia-Herzegovina,P3,10
