Nonimmigrant Visa Issuances by Nationality                                                      October 2024 (FY 2025),,
Nationality,Visa Class,Issuances
Afghanistan,B1/B2,153
Afghanistan,B2,1
Afghanistan,F1,10
Afghanistan,G4,15
Afghanistan,H4,1
Afghanistan,J1,1
Afghanistan,K1,9
Afghanistan,K2,1
Albania,A2,21
Albania,B1,1
Albania,B1/B2,"2,019"
Albania,B2,3
Albania,C1/D,20
Albania,E2,7
Albania,F1,5
Albania,G4,6
Albania,G5,1
Albania,H1B,4
Albania,I,1
Albania,J1,2
Albania,K1,22
Albania,K2,2
Albania,L1,1
Albania,M1,1
Albania,NATO2,7
Albania,NATO4,1
Albania,NATO6,2
Albania,O3,1
Albania,P3,4
Algeria,A2,33
Algeria,B1/B2,"2,029"
Algeria,B2,20
Algeria,C1,5
Algeria,C1/D,1
Algeria,D,19
Algeria,F1,24
Algeria,F2,2
Algeria,G1,5
Algeria,G2,14
Algeria,H1B,2
Algeria,I,11
Algeria,J1,7
Algeria,J2,3
Algeria,K1,13
Algeria,K2,1
Algeria,L1,3
Algeria,L2,2
Algeria,P1,1
Andorra,A2,1
Andorra,B1/B2,3
Andorra,C1/D,1
Andorra,L1,1
Andorra,O1,1
Angola,A1,6
Angola,A2,22
Angola,B1/B2,343
Angola,C1/D,11
Angola,F1,34
Angola,G1,7
Angola,G2,8
Angola,G4,5
Angola,H1B,1
Angola,I,2
Angola,J1,2
Angola,K1,2
Angola,K2,1
Angola,L1,2
Angola,L2,2
Anguilla,B1/B2,5
Antigua and Barbuda,A2,1
Antigua and Barbuda,B1/B2,259
Antigua and Barbuda,B2,4
Antigua and Barbuda,F1,1
Antigua and Barbuda,H1B,1
Antigua and Barbuda,H2B,1
Antigua and Barbuda,H4,1
Antigua and Barbuda,J2,2
Antigua and Barbuda,L2,1
Antigua and Barbuda,M1,1
Argentina,A1,4
Argentina,A2,50
Argentina,A3,1
Argentina,B1,5
Argentina,B1/B2,"25,763"
Argentina,B2,63
Argentina,C1,8
