Nonimmigrant Visa Issuances by Nationality                                                      December 2023 (FY 2024),,
Nationality,Visa Class,Issuances
Afghanistan,B1/B2,128
Afghanistan,E1,1
Afghanistan,F1,27
Afghanistan,F2,1
Afghanistan,G4,7
Afghanistan,I,4
Afghanistan,J1,2
Afghanistan,J2,5
Afghanistan,K1,22
Afghanistan,O1,1
Afghanistan,P3,1
Albania,A1,3
Albania,A2,6
Albania,B1/B2,"2,243"
Albania,B2,1
Albania,C1/D,8
Albania,F1,59
Albania,F2,1
Albania,G1,7
Albania,H1B,8
Albania,H4,1
Albania,J1,13
Albania,J2,2
Albania,K1,15
Albania,K2,1
Albania,NATO4,1
Albania,NATO6,4
Albania,O1,1
Albania,O3,2
Algeria,A1,8
Algeria,A2,1
Algeria,B1/B2,"1,408"
Algeria,B2,1
Algeria,C1,5
Algeria,D,21
Algeria,F1,67
Algeria,G1,14
Algeria,G2,2
Algeria,G4,3
Algeria,H1B,3
Algeria,H4,1
Algeria,I,5
Algeria,J1,12
Algeria,J2,1
Algeria,K1,21
Algeria,P3,2
Andorra,B1/B2,1
Andorra,F1,1
Andorra,H1B,2
Andorra,J1,3
Angola,A1,2
Angola,A2,6
Angola,B1,1
Angola,B1/B2,135
Angola,C1/D,5
Angola,F1,28
Angola,G1,11
Angola,G2,1
Angola,G4,1
Angola,H1B,3
Angola,J1,5
Angola,L1,4
Angola,L2,14
Angola,R1,1
Angola,R2,1
Anguilla,B1/B2,1
Antigua and Barbuda,A1,2
Antigua and Barbuda,A2,1
Antigua and Barbuda,B1/B2,265
Antigua and Barbuda,C1/D,3
Antigua and Barbuda,F1,8
Antigua and Barbuda,G4,3
Antigua and Barbuda,H1B,1
Antigua and Barbuda,H4,1
Antigua and Barbuda,K2,1
Antigua and Barbuda,P1,1
Argentina,A1,6
Argentina,A2,11
Argentina,B1,16
Argentina,B1/B2,"21,073"
Argentina,B2,30
Argentina,C1,18
Argentina,C1/D,82
Argentina,C3,1
Argentina,E1,2
Argentina,E2,46
Argentina,F1,319
Argentina,F2,15
Argentina,G1,2
Argentina,G2,1
Argentina,G4,23
Argentina,H1B,73
Argentina,H2A,4
Argentina,H2B,11
Argentina,H4,23
Argentina,I,7
Argentina,J1,296
Argentina,J2,16
Argentina,K1,5
Argentina,K2,1
Argentina,L1,60
Argentina,L2,90
Argentina,M1,3
Argentina,O1,41
Argentina,O2,10
Argentina,O3,10
Argentina,P1,68
Argentina,P3,19
Argentina,P4,36
Argentina,R1,6
Argentina,TD,1
Armenia,A1,2
Armenia,A2,5
Armenia,B1/B2,"1,542"
Armenia,E2,5
Armenia,F1,13
Armenia,G1,5
Armenia,G2,1
Armenia,G4,1
Armenia,H1B,6
Armenia,H4,1
Armenia,I,1
Armenia,J1,20
Armenia,J2,4
Armenia,K1,59
Armenia,K2,4
Armenia,L1,3
Armenia,L2,2
Armenia,M1,1
Armenia,O1,4
Armenia,O2,3
Armenia,O3,4
Armenia,P3,4
Australia,A1,16
Australia,A2,427
Australia,B1,5
Australia,B1/B2,610
Australia,C1,3
Australia,C1/D,165
Australia,C3,1
Australia,E1,2
Australia,E2,35
Australia,E3,350
Australia,E3D,317
Australia,E3R,441
Australia,F1,165
Australia,F2,2
Australia,G1,1
Australia,G2,3
Australia,G4,10
Australia,H1B,73
Australia,H2B,6
Australia,H3,3
Australia,H4,22
Australia,I,23
Australia,J1,305
Australia,J2,18
Australia,K1,24
Australia,K2,2
Australia,L1,70
Australia,L2,76
Australia,M1,7
Australia,O1,66
Australia,O2,34
Australia,O3,12
Australia,P1,52
Australia,P3,1
Australia,P4,1
Australia,R1,3
Australia,R2,3
Australia,TD,1
Austria,A2,19
Austria,B1/B2,167
Austria,C1/D,55
Austria,E1,2
Austria,E2,13
Austria,F1,35
Austria,F2,1
Austria,G2,1
Austria,G4,5
Austria,H1B,15
Austria,I,2
Austria,J1,103
Austria,J2,3
Austria,L1,18
Austria,L2,3
Austria,O1,11
Austria,O2,6
Austria,O3,2
Austria,P1,10
Austria,Q1,1
Azerbaijan,A2,12
Azerbaijan,B1,5
Azerbaijan,B1/B2,549
Azerbaijan,C1/D,24
Azerbaijan,E2,4
Azerbaijan,F1,57
Azerbaijan,F2,6
Azerbaijan,G1,3
Azerbaijan,G2,4
Azerbaijan,G4,5
Azerbaijan,H1B,12
Azerbaijan,H4,4
Azerbaijan,J1,9
Azerbaijan,J2,1
Azerbaijan,K1,3
Azerbaijan,K2,1
Azerbaijan,L1,3
Azerbaijan,L2,8
Azerbaijan,O1,2
"Bahamas, The",A1,1
"Bahamas, The",A2,4
"Bahamas, The",B1/B2,820
"Bahamas, The",B2,1
"Bahamas, The",C1,1
"Bahamas, The",C1/D,4
"Bahamas, The",F1,88
"Bahamas, The",H1B,37
"Bahamas, The",H4,6
"Bahamas, The",J1,2
"Bahamas, The",J2,1
"Bahamas, The",K1,2
"Bahamas, The",L1,4
"Bahamas, The",L2,3
"Bahamas, The",M1,2
"Bahamas, The",O1,2
"Bahamas, The",P1,7
Bahrain,A1,3
Bahrain,A2,9
Bahrain,B1/B2,192
Bahrain,C1/D,1
Bahrain,D,1
Bahrain,F1,6
Bahrain,F2,3
Bahrain,G2,3
Bahrain,H4,1
Bahrain,J1,4
Bahrain,J2,1
Bahrain,L2,1
Bahrain,M1,1
Bangladesh,A2,43
Bangladesh,A3,2
Bangladesh,B1,13
Bangladesh,B1/B2,"2,361"
Bangladesh,C1,2
Bangladesh,C1/D,73
Bangladesh,E2,1
Bangladesh,F1,540
Bangladesh,F2,145
Bangladesh,G1,8
Bangladesh,G4,16
Bangladesh,H1B,76
Bangladesh,H4,27
Bangladesh,I,2
Bangladesh,J1,29
Bangladesh,J2,24
Bangladesh,K1,5
Bangladesh,L1,4
Bangladesh,L2,3
Bangladesh,M1,3
Bangladesh,O1,3
Bangladesh,P3,4
Bangladesh,T4,1
Bangladesh,T5,2
Bangladesh,TD,1
Barbados,A1,2
Barbados,B1/B2,491
Barbados,C1/D,2
Barbados,C3,1
Barbados,F1,12
Barbados,G1,4
Barbados,G2,1
Barbados,G4,2
Barbados,H1B,2
Barbados,H2B,7
Barbados,I,2
Barbados,J1,2
Barbados,K1,1
Barbados,O1,1
Belarus,A2,4
Belarus,B1/B2,379
Belarus,C1/D,22
Belarus,F1,17
Belarus,F2,1
Belarus,G1,6
Belarus,G2,1
Belarus,G4,1
Belarus,H1B,7
Belarus,H4,1
Belarus,J1,10
Belarus,K1,9
Belarus,K2,1
Belarus,L1,7
Belarus,L2,12
Belarus,P1,3
Belarus,P4,2
Belgium,A2,11
Belgium,B1,1
Belgium,B1/B2,247
Belgium,C1,1
Belgium,C1/D,96
Belgium,E1,3
Belgium,E2,16
Belgium,F1,66
Belgium,G2,5
Belgium,G3,1
Belgium,G4,6
Belgium,H1B,17
Belgium,H4,6
Belgium,I,6
Belgium,J1,63
Belgium,J2,3
Belgium,K1,5
Belgium,K2,1
Belgium,L1,29
Belgium,L2,29
Belgium,M1,1
Belgium,NATO2,51
Belgium,O1,10
Belgium,O2,5
Belgium,P1,5
Belgium,P2,1
Belgium,P3,1
Belgium,P4,1
Belize,A2,3
Belize,B1/B2,592
Belize,C1,2
Belize,C1/D,3
Belize,F1,10
Belize,H1B,4
Belize,K1,2
Belize,K2,2
Belize,R1,1
Benin,A2,4
Benin,B1/B2,100
Benin,C1,1
Benin,C2,1
Benin,D,1
Benin,F1,26
Benin,G4,2
Benin,H1B,2
Benin,J1,3
Benin,K1,1
Benin,K2,1
Benin,R1,1
Bermuda,B1/B2,8
Bermuda,F1,2
Bhutan,A1,3
Bhutan,A2,2
Bhutan,A3,1
Bhutan,B1/B2,25
Bhutan,F1,20
Bhutan,F2,2
Bhutan,G1,3
Bhutan,G4,2
Bhutan,H1B,3
Bhutan,J1,2
Bhutan,M1,1
Bolivia,B1,2
Bolivia,B1/B2,"1,765"
Bolivia,B2,1
Bolivia,C1/D,3
Bolivia,E2,3
Bolivia,F1,63
Bolivia,G1,1
Bolivia,G4,15
Bolivia,H1B,15
Bolivia,H4,1
Bolivia,J1,26
Bolivia,K1,12
Bolivia,K2,2
Bolivia,L1,4
Bolivia,L2,2
Bolivia,M1,2
Bolivia,O1,1
Bolivia,O3,3
Bolivia,TD,1
Bosnia-Herzegovina,A2,8
Bosnia-Herzegovina,B1,19
Bosnia-Herzegovina,B1/B2,255
Bosnia-Herzegovina,C1/D,21
Bosnia-Herzegovina,E2,2
Bosnia-Herzegovina,F1,11
Bosnia-Herzegovina,G2,1
Bosnia-Herzegovina,H1B,2
Bosnia-Herzegovina,J1,2
Bosnia-Herzegovina,K1,4
Bosnia-Herzegovina,L1,1
Bosnia-Herzegovina,O2,1
Bosnia-Herzegovina,P3,2
Botswana,A1,1
Botswana,A2,9
Botswana,B1/B2,54
Botswana,C1/D,3
Botswana,E3D,3
Botswana,F1,12
Botswana,G4,1
Botswana,H1B,2
Botswana,J1,4
Brazil,A1,29
Brazil,A2,154
Brazil,A3,2
Brazil,B1,287
Brazil,B1/B2,"86,562"
Brazil,B2,3
Brazil,C1,39
Brazil,C1/D,350
Brazil,C3,6
Brazil,D,1
Brazil,E1,1
Brazil,E2,6
Brazil,E3D,1
Brazil,F1,742
Brazil,F2,97
Brazil,G1,3
Brazil,G2,5
Brazil,G4,43
Brazil,G5,2
Brazil,H1B,353
Brazil,H2A,7
Brazil,H2B,3
Brazil,H4,135
Brazil,I,22
Brazil,J1,863
Brazil,J2,163
Brazil,K1,68
Brazil,K2,7
Brazil,L1,661
Brazil,L2,974
Brazil,M1,12
Brazil,O1,169
Brazil,O2,16
Brazil,O3,70
Brazil,P1,98
Brazil,P3,6
Brazil,P4,20
Brazil,R1,15
Brazil,R2,3
Brazil,TD,2
British National Overseas (Hong Kong) Passport,B1/B2,179
British National Overseas (Hong Kong) Passport,C1/D,2
British National Overseas (Hong Kong) Passport,E3D,1
British National Overseas (Hong Kong) Passport,F1,3
British National Overseas (Hong Kong) Passport,H1B,5
