Nonimmigrant Visa Issuances by Nationality                                                      February 2024 (FY 2024),,
Nationality,Visa Class,Issuances
Afghanistan,B1/B2,170
Afghanistan,C2,2
Afghanistan,F1,5
Afghanistan,G2,1
Afghanistan,G4,14
Afghanistan,J1,2
Afghanistan,K1,18
Afghanistan,K2,1
Albania,A2,6
Albania,B1/B2,"2,471"
Albania,C1/D,6
Albania,F1,8
Albania,F2,1
Albania,G1,3
Albania,G2,1
Albania,G4,3
Albania,H1B,2
Albania,H4,1
Albania,I,2
Albania,J1,17
Albania,K1,14
Albania,L1,2
Albania,L2,2
Albania,NATO4,2
Albania,P3,9
Algeria,A2,11
Algeria,B1/B2,"1,752"
Algeria,C1,1
Algeria,D,16
Algeria,F1,28
Algeria,F2,3
Algeria,G1,1
Algeria,G2,11
Algeria,G4,3
Algeria,H1B,2
Algeria,H4,1
Algeria,I,1
Algeria,J1,11
Algeria,K1,7
Algeria,L1,5
Algeria,L2,8
Algeria,M1,2
Algeria,TD,1
Andorra,B1/B2,1
Andorra,G2,3
Angola,A1,1
Angola,A2,8
Angola,B1,2
Angola,B1/B2,203
Angola,C1,1
Angola,C1/D,6
Angola,F1,12
Angola,G1,6
Angola,G2,6
Angola,G4,1
Angola,J1,2
Angola,L1,1
Anguilla,B1/B2,1
Antigua and Barbuda,A1,1
Antigua and Barbuda,B1/B2,260
Antigua and Barbuda,C1/D,3
Antigua and Barbuda,F1,1
Antigua and Barbuda,H1B,2
Antigua and Barbuda,H4,1
Antigua and Barbuda,J1,3
Antigua and Barbuda,K1,1
Antigua and Barbuda,M1,1
Antigua and Barbuda,P1,1
Argentina,A1,4
Argentina,A2,16
Argentina,B1,6
Argentina,B1/B2,"17,395"
Argentina,B2,30
Argentina,BBBCC,1
Argentina,C1,2
Argentina,C1/D,126
Argentina,C3,1
Argentina,E2,59
Argentina,E3D,1
Argentina,F1,45
Argentina,F2,6
Argentina,G1,2
Argentina,G2,3
Argentina,G4,31
Argentina,H1B,15
Argentina,H2A,4
Argentina,H2B,3
Argentina,H4,11
Argentina,I,7
Argentina,J1,149
Argentina,J2,3
Argentina,K1,6
Argentina,L1,37
Argentina,L2,40
Argentina,M1,1
Argentina,O1,26
Argentina,O2,5
Argentina,O3,25
Argentina,P1,31
Argentina,P3,3
Argentina,P4,7
Argentina,R1,1
Argentina,R2,2
Argentina,TD,1
Armenia,A1,2
Armenia,A2,5
Armenia,B1,1
Armenia,B1/B2,"1,539"
Armenia,D,1
Armenia,E2,4
Armenia,F1,3
Armenia,F2,1
Armenia,G2,3
Armenia,G4,4
Armenia,H1B,2
Armenia,H4,7
Armenia,I,7
Armenia,J1,30
Armenia,K1,20
Armenia,K2,1
Armenia,O1,5
Armenia,O2,7
Armenia,O3,7
Armenia,P1,1
Armenia,P3,1
Australia,A1,16
Australia,A2,579
Australia,B1/B2,"1,179"
Australia,C1,5
Australia,C1/D,172
Australia,C3,2
Australia,E1,3
Australia,E2,24
Australia,E3,329
Australia,E3D,259
Australia,E3R,294
Australia,F1,28
Australia,G1,6
Australia,G2,9
Australia,G4,26
Australia,H1B,32
Australia,H2A,1
Australia,H4,7
Australia,I,64
Australia,J1,260
Australia,J2,4
Australia,K1,26
Australia,K2,2
Australia,L1,68
Australia,L2,47
Australia,M1,3
Australia,O1,62
Australia,O2,28
Australia,O3,8
Australia,P1,55
Australia,P2,1
Australia,P3,1
Australia,P4,1
Australia,R1,5
Austria,A1,2
Austria,A2,44
Austria,B1,1
Austria,B1/B2,238
Austria,C1/D,75
Austria,E2,26
Austria,F1,9
Austria,G2,5
Austria,G3,1
Austria,G4,2
Austria,H1B,5
Austria,H4,1
Austria,I,6
Austria,J1,44
Austria,K1,1
Austria,L1,29
Austria,L2,4
Austria,O1,7
Austria,O2,3
Austria,O3,1
Austria,P1,90
Austria,R1,1
Azerbaijan,A1,2
Azerbaijan,A2,12
Azerbaijan,B1,5
Azerbaijan,B1/B2,696
Azerbaijan,C1,1
Azerbaijan,C1/D,29
Azerbaijan,C2,1
Azerbaijan,C3,1
Azerbaijan,E2,10
Azerbaijan,F1,4
Azerbaijan,G1,5
Azerbaijan,G2,5
Azerbaijan,G4,5
Azerbaijan,H1B,2
Azerbaijan,H4,1
Azerbaijan,I,2
Azerbaijan,J1,17
