Nonimmigrant Visa Issuances by Nationality                                                      January 2024 (FY 2024),,
Nationality,Visa Class,Issuances
Afghanistan,B1/B2,171
Afghanistan,F1,20
Afghanistan,F2,5
Afghanistan,G4,12
Afghanistan,H4,1
Afghanistan,J1,3
Afghanistan,J2,5
Afghanistan,K1,14
Afghanistan,O1,2
Afghanistan,O3,1
Afghanistan,P1,1
Afghanistan,P4,1
Albania,A2,15
Albania,B1/B2,"2,433"
Albania,B2,1
Albania,C1/D,8
Albania,F1,38
Albania,F2,2
Albania,G1,3
Albania,G2,2
Albania,G4,1
Albania,G5,1
Albania,H1B,5
Albania,H4,1
Albania,J1,8
Albania,K1,7
Albania,L1,1
Albania,NATO1,4
Albania,NATO2,1
Albania,NATO4,3
Albania,P1,2
Albania,P3,5
Algeria,A1,4
Algeria,A2,15
Algeria,B1/B2,"1,544"
Algeria,C1,1
Algeria,D,20
Algeria,F1,43
Algeria,F2,2
Algeria,G1,5
Algeria,G2,3
Algeria,G4,2
Algeria,H1B,2
Algeria,H4,1
Algeria,J1,10
Algeria,J2,1
Algeria,K1,8
Algeria,L1,2
Algeria,L2,4
Angola,A2,3
Angola,B1,2
Angola,B1/B2,174
Angola,C1/D,9
Angola,F1,33
Angola,G1,1
Angola,G2,2
Angola,G4,4
Angola,H1B,1
Angola,J1,1
Angola,K1,1
Angola,K2,2
Angola,L1,2
Angola,L2,4
Anguilla,B1/B2,6
Antigua and Barbuda,A1,3
Antigua and Barbuda,A2,2
Antigua and Barbuda,B1/B2,282
Antigua and Barbuda,C1/D,1
Antigua and Barbuda,F1,2
Antigua and Barbuda,G2,1
Antigua and Barbuda,P1,1
Argentina,A1,5
Argentina,A2,11
Argentina,A3,1
Argentina,B1,11
Argentina,B1/B2,"20,011"
Argentina,B2,34
Argentina,BBBCC,1
Argentina,C1,7
Argentina,C1/D,124
Argentina,E1,5
Argentina,E2,50
Argentina,F1,107
Argentina,F2,5
Argentina,G1,3
Argentina,G2,3
Argentina,G4,36
Argentina,G5,1
Argentina,H1B,39
Argentina,H2A,4
Argentina,H2B,13
Argentina,H3,7
Argentina,H4,21
Argentina,I,23
Argentina,J1,190
Argentina,J2,27
Argentina,K1,7
Argentina,K2,1
Argentina,L1,44
Argentina,L2,32
Argentina,M1,3
Argentina,O1,38
Argentina,O2,23
Argentina,O3,21
Argentina,P1,71
Argentina,P3,9
Argentina,P4,44
Argentina,R1,4
Argentina,R2,4
Armenia,A1,2
Armenia,A2,5
Armenia,B1/B2,989
Armenia,E2,13
Armenia,F1,5
Armenia,G1,5
Armenia,G2,6
Armenia,G4,4
Armenia,H1B,3
Armenia,H4,2
