Nonimmigrant Visa Issuances by Nationality                                                      July 2024 (FY 2024),,
Nationality,Visa Class,Issuances
Afghanistan,B1/B2,194
Afghanistan,C1,1
Afghanistan,F1,91
Afghanistan,F2,3
Afghanistan,G4,10
Afghanistan,H1B,3
Afghanistan,H4,11
Afghanistan,J1,3
Afghanistan,K1,18
Afghanistan,O3,3
Afghanistan,P1,1
Afghanistan,TD,1
Albania,A1,5
Albania,A2,7
Albania,B1/B2,"2,442"
Albania,C1/D,12
Albania,F1,88
Albania,F2,2
Albania,G2,4
Albania,G4,2
Albania,H1B,4
Albania,J1,44
Albania,J2,5
Albania,K1,12
Albania,K2,2
Albania,L1,2
Albania,NATO2,10
Albania,NATO4,1
Albania,O1,1
Albania,O3,1
Algeria,A1,14
Algeria,A2,36
Algeria,B1/B2,"1,614"
Algeria,C1,4
Algeria,D,20
Algeria,F1,39
Algeria,F2,1
Algeria,G1,1
Algeria,G2,6
Algeria,G4,10
Algeria,H1B,1
Algeria,H4,3
Algeria,I,2
Algeria,J1,20
Algeria,J2,1
Algeria,K1,17
Algeria,L1,3
Algeria,L2,3
Algeria,P1,1
Andorra,A1,2
Andorra,F1,7
Andorra,G1,1
Andorra,J1,2
Andorra,L1,1
Angola,A1,7
Angola,A2,15
Angola,B1/B2,411
Angola,C1,1
Angola,C1/D,14
Angola,F1,67
Angola,F2,5
Angola,G1,7
Angola,G2,5
Angola,H1B,1
Angola,H4,2
Angola,K1,2
Angola,L1,3
Angola,L2,4
Angola,P1,2
Anguilla,B1/B2,1
Antigua and Barbuda,B1/B2,275
Antigua and Barbuda,B2,2
Antigua and Barbuda,F1,16
Antigua and Barbuda,H1B,1
Antigua and Barbuda,J1,1
Antigua and Barbuda,K1,1
Antigua and Barbuda,L1,1
Antigua and Barbuda,L2,1
Argentina,A1,3
Argentina,A2,305
Argentina,B1,6
Argentina,B1/B2,"24,180"
Argentina,B2,34
Argentina,C1,8
Argentina,C1/D,160
Argentina,E1,4
Argentina,E2,75
Argentina,F1,338
Argentina,F2,15
Argentina,G1,1
Argentina,G2,5
Argentina,G4,30
Argentina,H1B,33
Argentina,H2A,7
Argentina,H2B,1
Argentina,H3,1
Argentina,H4,26
Argentina,I,7
Argentina,J1,283
Argentina,J2,34
Argentina,K1,18
Argentina,K2,1
Argentina,L1,90
Argentina,L2,121
Argentina,M1,5
Argentina,O1,26
Argentina,O2,3
Argentina,O3,20
Argentina,P1,27
Argentina,P3,10
Argentina,P4,15
Argentina,R1,5
Argentina,R2,8
Argentina,TD,2
Armenia,A1,5
Armenia,A2,24
Armenia,B1/B2,960
Armenia,D,1
Armenia,F1,29
Armenia,F2,1
Armenia,G1,2
Armenia,G2,4
Armenia,G4,6
Armenia,H4,1
Armenia,I,1
Armenia,J1,53
Armenia,J2,3
Armenia,K1,19
Armenia,L1,3
