Nonimmigrant Visa Issuances by Nationality                                                      September 2024 (FY 2024),,
Nationality,Visa Class,Issuances
Afghanistan,B1,1
Afghanistan,B1/B2,175
Afghanistan,C1,1
Afghanistan,C2,1
Afghanistan,D,1
Afghanistan,F1,14
Afghanistan,F2,6
Afghanistan,G4,11
Afghanistan,J1,4
Afghanistan,J2,2
Afghanistan,K1,24
Afghanistan,K2,2
Afghanistan,L1,1
Afghanistan,P3,1
Albania,A1,1
Albania,A2,19
Albania,B1/B2,"2,061"
Albania,C1,1
Albania,C1/D,15
Albania,E2,2
Albania,F1,11
Albania,G2,5
Albania,G4,3
Albania,H1B,5
Albania,I,2
Albania,J1,7
Albania,J2,4
Albania,K1,21
Albania,K2,1
Albania,L1,3
Albania,L2,4
Albania,NATO2,4
Albania,NATO5,1
Albania,NATO6,3
Albania,O1,1
Albania,P3,3
Albania,TD,1
Algeria,A2,14
Algeria,B1/B2,"1,976"
Algeria,C1,4
Algeria,C1/D,1
Algeria,D,16
Algeria,F1,24
Algeria,F2,1
Algeria,G1,5
Algeria,G2,58
Algeria,G4,7
Algeria,H1B,5
Algeria,H4,1
Algeria,I,3
Algeria,J1,10
Algeria,J2,3
Algeria,K1,12
Algeria,L1,4
Algeria,L2,2
Andorra,M1,1
Angola,A1,10
Angola,A2,15
Angola,B1/B2,391
Angola,C1/D,7
Angola,F1,42
Angola,F2,5
Angola,G1,2
Angola,G2,69
Angola,H1B,2
Angola,I,7
Angola,J1,3
Angola,K1,1
Angola,L1,3
Angola,L2,1
Anguilla,F1,2
Antigua and Barbuda,B1/B2,243
Antigua and Barbuda,B2,1
Antigua and Barbuda,C1/D,2
Antigua and Barbuda,F1,9
Antigua and Barbuda,H1B,2
Antigua and Barbuda,K1,1
Antigua and Barbuda,L1,2
Antigua and Barbuda,L2,2
Argentina,A1,6
Argentina,A2,27
Argentina,A3,1
Argentina,B1,8
Argentina,B1/B2,"26,724"
Argentina,B2,53
Argentina,C1,10
Argentina,C1/D,119
Argentina,E2,51
Argentina,F1,52
Argentina,F2,2
Argentina,G2,11
Argentina,G4,21
Argentina,H1B,29
Argentina,H2A,15
Argentina,H2B,31
Argentina,H4,24
Argentina,I,6
Argentina,J1,"1,526"
Argentina,J2,9
Argentina,K1,15
Argentina,K2,1
Argentina,L1,57
Argentina,L2,57
Argentina,M1,8
Argentina,O1,23
Argentina,O2,69
Argentina,O3,7
Argentina,P1,63
Argentina,P3,13
Argentina,P4,11
Argentina,R1,3
Argentina,R2,3
Armenia,A1,6
Armenia,A2,32
Armenia,B1,1
Armenia,B1/B2,"1,384"
Armenia,C1,1
Armenia,D,1
Armenia,E2,1
Armenia,F1,7
Armenia,G2,3
Armenia,G4,4
Armenia,H1B,2
Armenia,H4,2
Armenia,J1,30
Armenia,K1,23
Armenia,K2,3
